iter	Passed	Remaining
0	2	3182
1	4	3145
2	6	3078
3	8	3065
4	10	3056
5	12	3090
6	14	3079
7	16	3069
8	18	3120
9	20	3105
10	22	3093
11	25	3119
12	27	3108
13	29	3130
14	31	3136
15	33	3120
16	36	3141
17	38	3146
18	40	3167
19	42	3178
20	45	3169
21	47	3177
22	49	3169
23	51	3172
24	53	3159
25	55	3161
26	58	3165
27	60	3179
28	62	3169
29	64	3161
30	66	3164
31	68	3159
32	71	3158
33	73	3151
34	75	3146
35	77	3138
36	79	3151
37	81	3147
38	84	3154
39	86	3155
40	88	3153
41	90	3150
42	93	3159
43	95	3155
44	97	3166
45	100	3170
46	102	3162
47	104	3155
48	106	3156
49	108	3147
50	110	3147
51	112	3145
52	115	3143
53	117	3145
54	120	3159
55	122	3154
56	124	3152
57	126	3145
58	128	3141
59	130	3143
60	133	3143
61	135	3140
62	137	3138
63	139	3133
64	141	3128
65	143	3124
66	145	3119
67	148	3122
68	150	3122
69	152	3118
70	154	3117
71	157	3117
72	159	3121
73	161	3119
74	163	3115
75	166	3114
76	168	3110
77	170	3112
78	172	3108
79	174	3103
80	176	3100
81	179	3098
82	181	3098
83	184	3101
84	186	3101
85	188	3097
86	190	3098
87	193	3106
88	195	3102
89	197	3095
90	199	3090
91	201	3087
92	203	3082
93	205	3078
94	208	3077
95	210	3072
96	212	3071
97	214	3069
98	216	3068
99	219	3066
100	221	3066
101	223	3067
102	225	3063
103	227	3060
104	230	3056
105	232	3060
106	235	3064
107	237	3060
108	239	3057
109	241	3053
110	243	3051
111	246	3049
112	248	3048
113	250	3048
114	252	3044
115	255	3042
116	257	3038
117	259	3035
118	261	3030
119	263	3029
120	265	3026
121	267	3022
122	269	3018
123	271	3017
124	274	3016
125	276	3013
126	278	3010
127	280	3006
128	282	3005
129	284	3002
130	286	2997
131	288	2994
132	290	2990
133	293	2986
134	295	2986
135	297	2985
136	299	2981
137	301	2976
138	303	2976
139	306	2972
140	308	2969
141	310	2965
142	312	2964
143	314	2964
144	316	2961
145	319	2958
146	321	2954
147	322	2950
148	325	2949
149	327	2946
150	329	2945
151	332	2944
152	334	2941
153	336	2937
154	338	2934
155	340	2930
156	342	2929
157	344	2930
158	347	2929
159	349	2926
160	351	2922
161	353	2920
162	355	2916
163	358	2916
164	360	2913
165	362	2912
166	364	2908
167	366	2906
168	368	2904
169	370	2901
170	373	2899
171	375	2897
172	377	2894
173	379	2892
174	381	2890
175	383	2887
176	385	2884
177	387	2879
178	390	2879
179	392	2876
180	394	2873
181	396	2870
182	398	2867
183	400	2865
184	402	2861
185	404	2858
186	406	2854
187	408	2850
188	410	2849
189	412	2845
190	414	2842
191	416	2840
192	419	2837
193	421	2838
194	423	2837
195	426	2835
196	428	2833
197	430	2830
198	432	2829
199	434	2827
200	437	2826
201	439	2822
202	441	2820
