id,Personality,Time_spent_Alone,Stage_fear,Social_event_attendance,Going_outside,Drained_after_socializing,Friends_circle_size,Post_frequency,Stage_fear_basic_encoded,Stage_fear_noise_encoded,Stage_fear_cv_encoded_1,Stage_fear_cv_encoded_2,Drained_after_socializing_basic_encoded,Drained_after_socializing_noise_encoded,Drained_after_socializing_cv_encoded_1,Drained_after_socializing_cv_encoded_2
0,Extrovert,0.0,No,6.0,4.0,No,15.0,5.0,0.9757809804516525,0.9905191593419883,0.9757809804516525,0.9756800665555754,0.9757491039443281,0.9711031931792403,0.9757491039443281,0.9760370229573381
1,Extrovert,1.0,No,7.0,3.0,No,10.0,8.0,0.9762257032185212,0.9884880893971743,0.9762257032185212,0.9759497635885929,0.9761127243169778,0.9759892405716161,0.9761127243169778,0.9753971019820952
2,Introvert,6.0,Yes,1.0,0.0,,3.0,0.0,0.06827962412478918,0.07760995821689924,0.06827962412478918,0.06427265184482787,0.7395411605937922,0.7424873413760774,0.7395411605937922,0.7397260273972602
3,Extrovert,3.0,No,7.0,3.0,No,11.0,5.0,0.9752173145650477,0.9824721495274491,0.9752173145650477,0.9759497635885929,0.9750398372807411,0.977323944273144,0.9750398372807411,0.9753971019820952
4,Extrovert,1.0,No,4.0,4.0,No,13.0,,0.9744248114517252,0.9971178269615538,0.9744248114517252,0.9752524091342913,0.9742467865301073,0.9603065660349478,0.9742467865301073,0.9752090993890185
5,Extrovert,2.0,No,8.0,5.0,No,,3.0,0.9744248114517252,0.9701535472991711,0.9744248114517252,0.9747171890469377,0.9742467865301073,0.980864735268136,0.9742467865301073,0.9751998213573527
6,Extrovert,1.0,No,8.0,,No,,4.0,0.9762257032185212,0.9660349148899126,0.9762257032185212,0.9759497635885929,0.9761127243169778,0.9937605960230596,0.9761127243169778,0.9753971019820952
7,Extrovert,2.0,No,8.0,3.0,No,4.0,5.0,0.9755279900571651,0.9545515396422767,0.9755279900571651,0.9755732966617038,0.9761370056357601,0.9685810470406202,0.9761370056357601,0.975440789615481
8,Introvert,4.0,Yes,2.0,1.0,,0.0,2.0,0.07129131651376448,0.08065756710933626,0.07129131651376448,0.07099717470937374,0.7395235845873541,0.7194264077423964,0.7395235845873541,0.7387138133477292
9,Extrovert,1.0,No,8.0,6.0,No,14.0,9.0,0.9755279900571651,0.9647422409482234,0.9755279900571651,0.9752524091342913,0.9761370056357601,0.9886381779216228,0.9761370056357601,0.9752090993890185
